,Values
NAV,"15,983.73"
Open Price,"15,810.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"3,795.0 / 1,332.3"
Day Range,"15,810.00 – 16,280.00"
Year Range,"12,845.00 – 17,400.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.830%
Total Assets,6.4 Bil
