,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.48,1.89,-3.80,-3.85,2.78,-4.07,—,—,—,—,—
Total Return % (NAV),-0.09,0.29,-3.53,-4.72,3.28,-5.05,—,—,—,—,-8.26
+/- Category (NAV),0.12,0.63,0.94,0.64,-3.97,0.84,—,—,—,—,—
+/- Index (NAV),0.56,-1.04,0.26,-4.74,-10.24,-7.68,—,—,—,—,—
