,Values
NAV,"8,394.56"
Open Price,"8,350.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"5.0 / 3,093.8"
Day Range,"8,350.00 – 8,385.00"
Year Range,"7,395.00 – 9,585.00"
SEC Yield ,—
12-Month Yield ,1.83%
Premium ,—
Expense Ratio,0.260%
Total Assets,4.7 Bil
