,Values
Sustainability Rate,Below Average
Percent Rank in Global Category,89%
Historical Sustainability Score,40.88
Global Category,Consumer Goods & Services Sector Equity
Portfolio ESG,47.70
Controversy Deduction,7.58
Sustainability Score,40.12
Sustainability Mandate,No
