,Values
NAV,"16,178.26"
Open Price,"16,195.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"4,906.0 / 6,943.2"
Day Range,"15,840.00 – 16,195.00"
Year Range,"12,415.00 – 16,400.00"
SEC Yield ,—
12-Month Yield ,1.60%
Premium ,—
Expense Ratio,0.420%
Total Assets,25.9 Bil
