,Net,Short,Long,Cat.,Index
U.S.Stock,99.46,0.00,99.46,84.55,98.92
Non-U.S.Stock,0.00,0.00,0.00,1.41,1.08
Bonds,0.00,0.00,0.00,1.68,0.00
Other,0.00,0.00,0.00,0.57,0.00
Cash,0.54,6.21,6.75,77.20,0.00
Not Classified,0.00,0.00,0.00,0.57,0.00
