,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.51,-0.74,-7.76,-6.65,-5.49,-12.29,—,—,—,—,—
Total Return % (NAV),0.65,1.49,-7.09,-6.64,-4.74,-12.34,—,—,—,—,-8.03
+/- Category (NAV),-0.23,-1.96,2.11,5.15,4.23,5.52,—,—,—,—,—
+/- Index (NAV),0.65,1.40,2.88,9.08,10.35,6.03,—,—,—,—,—
