,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-15.62,-5.58
Fund (NAV),—,—,—,—,—,—,—,—,—,-15.57,-4.54
+/ Category (NAV),—,—,—,—,—,—,—,—,—,2.57,4.88
+/- Index (Price),—,—,—,—,—,—,—,—,—,-3.74,9.47
Percentile Rank,—,—,—,—,—,—,—,—,—,29,29
# of Funds in Category,—,—,—,—,—,—,—,—,272,369,476
