,Fund,Cat. Average,Index
Price/Earnings ,9.10,10.08,10.07
Price/Book ,0.86,1.04,0.93
Price/Sales ,0.52,0.61,0.40
Price/Cash Flow ,3.78,4.44,2.91
Dividend Yield % ,2.77,1.71,2.01
Long-Term Earnings % ,14.52,9.55,10.86
Historical Earnings % ,0.72,2.73,0.53
Sales Growth % ,-2.02,-1.44,-3.08
Cash-Flow Growth % ,2.99,-10.31,-9.25
Book-Value Growth % ,4.16,6.21,2.39
