,Fund,Cat. Average,Index
Price/Earnings ,10.56,11.02,12.13
Price/Book ,1.23,0.84,0.86
Price/Sales ,0.87,0.53,0.65
Price/Cash Flow ,4.07,3.46,3.66
Dividend Yield % ,2.54,3.08,3.48
Long-Term Earnings % ,17.65,10.07,3.69
Historical Earnings % ,27.81,15.26,14.88
Sales Growth % ,5.28,11.25,4.89
Cash-Flow Growth % ,22.17,16.83,15.05
Book-Value Growth % ,10.70,10.86,8.56
