,Values
Sustainability Rate,High
Percent Rank in Global Category,4%
Historical Sustainability Score,43.65
Global Category,Korea Equity
Portfolio ESG,50.87
Controversy Deduction,6.62
Sustainability Score,44.25
Sustainability Mandate,No
