,Values
NAV,"7,345.30"
Open Price,"7,360.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"100.0 / 107,082.0"
Day Range,"7,360.00 – 7,360.00"
Year Range,"7,100.00 – 8,995.00"
SEC Yield ,—
12-Month Yield ,1.31%
Premium ,—
Expense Ratio,0.380%
Total Assets,7.0 Bil
