,Values
NAV,"8,109.73"
Open Price,"8,070.00"
Bid / Ask / Spread,"8,090.00 / 8,110.00 / 0.25%"
Volume / Avg,"5.0 / 10,362.4"
Day Range,"8,070.00 – 8,070.00"
Year Range,"8,040.00 – 9,595.00"
SEC Yield ,—
12-Month Yield ,1.63%
Premium ,—
Expense Ratio,0.210%
Total Assets,7.5 Bil
