,Fund,Cat. Average,Index
Price/Earnings ,14.20,11.02,12.13
Price/Book ,1.05,0.84,0.86
Price/Sales ,0.85,0.53,0.65
Price/Cash Flow ,4.62,3.46,3.66
Dividend Yield % ,3.05,3.08,3.48
Long-Term Earnings % ,21.40,10.07,3.69
Historical Earnings % ,20.97,15.26,14.88
Sales Growth % ,-10.07,11.25,4.89
Cash-Flow Growth % ,12.22,16.83,15.05
Book-Value Growth % ,-2.21,10.86,8.56
