,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.56,-1.23,-8.34,-5.42,-3.46,-7.78,7.58,0.92,—,—,—
Total Return % (NAV),0.54,1.05,-7.10,-5.56,-2.42,-7.84,7.99,1.11,—,—,0.64
+/- Category (NAV),-0.23,-0.43,0.01,1.22,2.45,5.04,9.03,2.08,—,—,—
+/- Index (NAV),0.54,-0.20,-0.90,-1.85,-2.91,1.94,3.62,-1.31,—,—,—
