,Fund,Cat. Average,Index
Price/Earnings ,—,11.87,—
Price/Book ,—,1.05,—
Price/Sales ,—,0.73,—
Price/Cash Flow ,—,3.83,—
Dividend Yield % ,—,2.61,—
Long-Term Earnings % ,—,7.31,—
Historical Earnings % ,—,8.40,—
Sales Growth % ,—,8.94,—
Cash-Flow Growth % ,—,7.00,—
Book-Value Growth % ,—,9.61,—
