,Values
NAV,"15,271.59"
Open Price,"16,250.00"
Bid / Ask / Spread,"0.00 / 15,910.00 / 0.00%"
Volume / Avg,"16,200.0 / 9,270.2"
Day Range,"15,480.00 – 16,250.00"
Year Range,"11,220.00 – 18,960.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.680%
Total Assets,13.7 Bil
