,Fund,Category,Index
U.S.Stock,0.00,0.03,—
Non-U.S.Stock,0.00,620.20,—
Bonds,0.00,8.78,—
Other,100.00,3.73,—
Cash,0.00,156.79,—
Not Classified,0.00,0.10,—
