,Values
NAV,"12,528.39"
Open Price,"12,425.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,20.0 / 108.4
Day Range,"12,375.00 – 12,425.00"
Year Range,"12,225.00 – 14,555.00"
SEC Yield ,—
12-Month Yield ,1.92%
Premium ,—
Expense Ratio,0.200%
Total Assets,7.5 Bil
