,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.24,-0.24,-7.20,-5.39,-4.15,-5.34,8.52,1.58,—,—,—
Total Return % (NAV),0.54,-0.70,-6.10,-6.26,-2.87,-5.62,9.01,2.09,—,—,2.44
+/- Category (NAV),0.49,-0.52,0.94,1.70,1.90,8.11,10.05,2.82,—,—,—
+/- Index (NAV),0.22,-0.06,-0.14,-1.78,-3.53,4.78,4.57,-0.52,—,—,—
