,Values
NAV,"15,927.62"
Open Price,"15,960.00"
Bid / Ask / Spread,"15,780.00 / 15,835.00 / 0.35%"
Volume / Avg,6.0 / 619.5
Day Range,"15,960.00 – 16,100.00"
Year Range,"15,390.00 – 16,695.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.420%
Total Assets,10.8 Bil
