,Values
NAV,"9,807.15"
Open Price,"9,835.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"308.0 / 7,585.9"
Day Range,"9,735.00 – 9,845.00"
Year Range,"9,180.00 – 12,330.00"
SEC Yield ,—
12-Month Yield ,1.80%
Premium ,—
Expense Ratio,0.360%
Total Assets,60.8 Bil
