Sectors,Fund %,Category %
Basic Materials,17.82,8.70
Consumer Cyclical,13.37,13.65
Financial Services,2.94,11.56
Real Estate,2.99,0.29
Communication Services,0.64,2.34
Energy,0.00,1.96
Industrials,8.74,10.46
Technology,42.79,38.20
Consumer Defensive,4.35,6.64
Healthcare,6.36,4.97
Utilities,0.00,1.23
