,Fund,Cat. Average,Index
Price/Earnings ,10.08,11.02,12.13
Price/Book ,1.10,0.84,0.86
Price/Sales ,0.61,0.53,0.65
Price/Cash Flow ,4.62,3.46,3.66
Dividend Yield % ,2.92,3.08,3.48
Long-Term Earnings % ,18.23,10.07,3.69
Historical Earnings % ,6.65,15.26,14.88
Sales Growth % ,-2.69,11.25,4.89
Cash-Flow Growth % ,-21.32,16.83,15.05
Book-Value Growth % ,6.91,10.86,8.56
