,Fund,Category,Index
U.S.Stock,0.31,7.89,—
Non-U.S.Stock,99.69,55.88,—
Bonds,0.00,13.14,—
Other,0.00,1.89,—
Cash,0.00,30.83,—
Not Classified,0.00,1.33,—
