,Fund,Cat. Average,Index
Price/Earnings ,12.24,13.71,—
Price/Book ,1.43,1.73,—
Price/Sales ,1.13,1.19,—
Price/Cash Flow ,4.47,5.33,—
Dividend Yield % ,3.61,2.63,—
Long-Term Earnings % ,8.28,10.31,—
Historical Earnings % ,10.91,17.08,—
Sales Growth % ,7.96,-13.84,—
Cash-Flow Growth % ,6.54,10.00,—
Book-Value Growth % ,7.33,-8.98,—
