Sectors,Fund %,Category %
Basic Materials,7.89,6.23
Consumer Cyclical,11.47,7.80
Financial Services,25.14,22.50
Real Estate,3.19,12.48
Communication Services,4.73,1.12
Energy,7.67,10.13
Industrials,4.95,7.15
Technology,23.02,15.88
Consumer Defensive,6.88,10.60
Healthcare,2.49,3.51
Utilities,2.57,2.60
