,Values
NAV,"9,429.27"
Open Price,"9,450.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"675.0 / 1,336.7"
Day Range,"9,420.00 – 9,515.00"
Year Range,"9,000.00 – 12,240.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.660%
Total Assets,6.6 Bil
