,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,2.26,-13.65,-6.74,-26.60,12.68,24.22,-19.09,-2.60
Fund (NAV),—,—,—,2.24,-12.97,-7.76,-26.04,11.99,25.02,-19.29,-2.78
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,—
Percentile Rank,—,—,—,—,—,—,—,—,—,—,—
# of Funds in Category,—,—,—,—,—,—,—,—,—,—,—
