,Values
NAV,"4,914.97"
Open Price,"4,935.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,21.0 / 984.3
Day Range,"4,935.00 – 4,935.00"
Year Range,"4,780.00 – 5,630.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.770%
Total Assets,2.9 Bil
