,Values
NAV,"8,866.55"
Open Price,"8,830.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"26,655.0 / 38,215.7"
Day Range,"8,730.00 – 8,830.00"
Year Range,"8,655.00 – 10,620.00"
SEC Yield ,—
12-Month Yield ,3.95%
Premium ,—
Expense Ratio,0.320%
Total Assets,24.6 Bil
