,Fund,Cat. Average,Index
Price/Earnings ,9.66,13.31,—
Price/Book ,0.49,0.99,—
Price/Sales ,0.30,0.52,—
Price/Cash Flow ,3.85,3.85,—
Dividend Yield % ,1.86,2.16,—
Long-Term Earnings % ,6.78,15.19,—
Historical Earnings % ,-9.94,35.81,—
Sales Growth % ,2.65,2.99,—
Cash-Flow Growth % ,-5.01,2.81,—
Book-Value Growth % ,0.42,1.55,—
