,Values
NAV,"6,527.29"
Open Price,"6,470.00"
Bid / Ask / Spread,"5,860.00 / 7,155.00 / 19.90%"
Volume / Avg,"45,175.0 / 16,966.2"
Day Range,"6,445.00 – 6,530.00"
Year Range,"6,300.00 – 8,960.00"
SEC Yield ,—
12-Month Yield ,2.15%
Premium ,—
Expense Ratio,0.470%
Total Assets,6.4 Bil
