,Values
NAV,"8,086.21"
Open Price,"8,055.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,5.0 / 194.8
Day Range,"8,055.00 – 8,100.00"
Year Range,"7,995.00 – 10,195.00"
SEC Yield ,—
12-Month Yield ,1.82%
Premium ,—
Expense Ratio,0.470%
Total Assets,3.6 Bil
