,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,—,-8.04
Fund (NAV),—,—,—,—,—,—,—,—,—,—,-7.07
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,1.90
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,7.05
Percentile Rank,—,—,—,—,—,—,—,—,—,—,46
# of Funds in Category,—,—,—,—,—,—,—,—,—,369,476
