,Fund,Cat. Average,Index
Price/Earnings ,8.61,10.08,10.07
Price/Book ,0.93,1.04,0.93
Price/Sales ,0.43,0.61,0.40
Price/Cash Flow ,3.59,4.44,2.91
Dividend Yield % ,2.30,1.71,2.01
Long-Term Earnings % ,35.72,9.55,10.86
Historical Earnings % ,15.77,2.73,0.53
Sales Growth % ,0.45,-1.44,-3.08
Cash-Flow Growth % ,3.15,-10.31,-9.25
Book-Value Growth % ,4.77,6.21,2.39
