,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,-82.53,94.63,12.10,5.39,—
Bonds,18.00,0.00,18.00,12.48,—
Other,0.00,0.00,0.00,19.44,—
Cash,164.52,16.05,180.57,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
