,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,16.91,34.11,17.47,1.54,10.35,19.83,-7.98,15.34
Fund (NAV),—,—,—,16.85,34.40,17.32,1.78,10.05,19.96,-7.80,16.91
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,—
Percentile Rank,—,—,—,1,50,3,35,—,—,—,—
# of Funds in Category,—,—,—,—,—,—,—,—,—,—,—
