,Values
NAV,"34,470.83"
Open Price,"34,475.00"
Bid / Ask / Spread,"34,490.00 / 37,935.00 / 9.51%"
Volume / Avg,"312,137.0 / 51,301.5"
Day Range,"34,380.00 – 34,535.00"
Year Range,"27,400.00 – 35,610.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.360%
Total Assets,104.3 Bil
