,Fund,Cat. Average,Index
Price/Earnings ,20.50,17.17,20.64
Price/Book ,7.00,2.04,3.84
Price/Sales ,4.34,1.37,2.36
Price/Cash Flow ,13.57,7.78,11.93
Dividend Yield % ,1.45,1.69,1.48
Long-Term Earnings % ,10.31,8.11,10.45
Historical Earnings % ,18.16,12.12,18.19
Sales Growth % ,10.18,7.65,8.61
Cash-Flow Growth % ,19.64,13.49,16.51
Book-Value Growth % ,2.26,7.62,8.68
