,Values
NAV,"24,389.97"
Open Price,"23,680.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"2,143.0 / 1,720.1"
Day Range,"23,550.00 – 23,715.00"
Year Range,"16,415.00 – 24,930.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.380%
Total Assets,11.5 Bil
