Sectors,Fund %,Category %
Basic Materials,2.79,2.58
Consumer Cyclical,10.84,14.19
Financial Services,14.65,12.88
Real Estate,2.44,1.61
Communication Services,2.67,2.20
Energy,0.23,2.69
Industrials,9.03,10.51
Technology,22.12,26.91
Consumer Defensive,13.34,7.87
Healthcare,19.64,17.22
Utilities,2.26,1.36
