,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,—,26.61
Fund (NAV),—,—,—,—,—,—,—,—,—,—,27.66
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,8.18
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,9.95
Percentile Rank,—,—,—,—,—,—,—,—,—,—,7
# of Funds in Category,—,—,—,—,—,—,—,—,—,199,262
