,Values
NAV,"11,661.02"
Open Price,"11,600.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,961.0 / 4,268.0"
Day Range,"11,570.00 – 11,610.00"
Year Range,"8,720.00 – 11,915.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.800%
Total Assets,5.8 Bil
