,Fund,Cat. Average,Index
Price/Earnings ,13.85,10.08,10.07
Price/Book ,1.97,1.04,0.93
Price/Sales ,1.05,0.61,0.40
Price/Cash Flow ,7.60,4.44,2.91
Dividend Yield % ,0.86,1.71,2.01
Long-Term Earnings % ,31.85,9.55,10.86
Historical Earnings % ,11.42,2.73,0.53
Sales Growth % ,1.91,-1.44,-3.08
Cash-Flow Growth % ,-15.26,-10.31,-9.25
Book-Value Growth % ,10.57,6.21,2.39
