,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.38,4.78,-11.91,-16.55,-18.08,-25.62,—,—,—,—,—
Total Return % (NAV),-0.69,4.69,-12.14,-16.74,-18.13,-25.24,—,—,—,—,-25.53
+/- Category (NAV),-0.34,1.07,-2.16,-4.56,-8.39,-7.47,—,—,—,—,—
+/- Index (NAV),-0.17,2.39,-1.18,-2.24,-2.63,-7.16,—,—,—,—,—
