,Values
NAV,"6,596.40"
Open Price,"6,620.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"4.0 / 75,915.9"
Day Range,"6,620.00 – 6,620.00"
Year Range,"6,270.00 – 9,855.00"
SEC Yield ,—
12-Month Yield ,0.72%
Premium ,—
Expense Ratio,0.370%
Total Assets,5.3 Bil
