,Values
NAV,"8,168.19"
Open Price,"8,120.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"34.0 / 7,137.8"
Day Range,"8,080.00 – 8,120.00"
Year Range,"8,080.00 – 9,580.00"
SEC Yield ,—
12-Month Yield ,2.10%
Premium ,—
Expense Ratio,0.370%
Total Assets,9.4 Bil
