,Fund,Cat. Average,Index
Price/Earnings ,9.73,11.02,12.13
Price/Book ,0.78,0.84,0.86
Price/Sales ,0.51,0.53,0.65
Price/Cash Flow ,3.62,3.46,3.66
Dividend Yield % ,3.23,3.08,3.48
Long-Term Earnings % ,11.16,10.07,3.69
Historical Earnings % ,8.23,15.26,14.88
Sales Growth % ,5.90,11.25,4.89
Cash-Flow Growth % ,1.00,16.83,15.05
Book-Value Growth % ,6.82,10.86,8.56
