,Values
NAV,"17,106.56"
Open Price,"17,310.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,274.0 / 1,579.4"
Day Range,"17,290.00 – 17,395.00"
Year Range,"10,795.00 – 18,485.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.120%
Total Assets,13.7 Bil
