,Values
NAV,"8,252.91"
Open Price,"8,180.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"50,606.0 / 12,123.1"
Day Range,"8,085.00 – 8,180.00"
Year Range,"8,085.00 – 10,490.00"
SEC Yield ,—
12-Month Yield ,2.15%
Premium ,—
Expense Ratio,0.420%
Total Assets,5.8 Bil
