Sectors,Fund %,Category %
Basic Materials,17.21,8.70
Consumer Cyclical,12.77,13.65
Financial Services,16.13,11.56
Real Estate,0.00,0.29
Communication Services,2.39,2.34
Energy,2.50,1.96
Industrials,21.70,10.46
Technology,21.50,38.20
Consumer Defensive,0.00,6.64
Healthcare,0.00,4.97
Utilities,5.80,1.23
