,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.36,-1.53,-16.53,-26.04,-18.40,-47.66,-15.42,—,—,—,—
Total Return % (NAV),-1.27,-4.38,-16.38,-26.13,-18.83,-47.50,-15.51,—,—,—,-18.88
+/- Category (NAV),-0.97,-3.16,-10.17,-21.69,-24.16,-36.15,-16.19,—,—,—,—
+/- Index (NAV),-0.18,-4.13,-9.61,-23.69,-25.54,-43.41,-22.27,—,—,—,—
