,Fund,Cat. Average,Index
Price/Earnings ,10.66,12.75,13.61
Price/Book ,0.82,1.47,1.46
Price/Sales ,0.62,1.00,0.81
Price/Cash Flow ,1.91,4.78,6.25
Dividend Yield % ,1.39,4.09,4.05
Long-Term Earnings % ,19.11,10.01,9.80
Historical Earnings % ,12.66,24.03,17.07
Sales Growth % ,7.45,9.98,6.69
Cash-Flow Growth % ,35.82,22.08,12.68
Book-Value Growth % ,0.07,3.87,4.43
