,Fund,Cat. Average,Index
Price/Earnings ,20.74,20.30,17.09
Price/Book ,3.25,2.56,3.38
Price/Sales ,3.05,2.04,1.97
Price/Cash Flow ,29.32,11.25,13.35
Dividend Yield % ,0.33,0.89,1.91
Long-Term Earnings % ,18.84,10.45,9.35
Historical Earnings % ,-4.41,15.68,13.99
Sales Growth % ,4.82,9.13,5.37
Cash-Flow Growth % ,6.36,2.14,-2.79
Book-Value Growth % ,7.16,7.67,3.73
