,Values
NAV,"15,165.37"
Open Price,"15,055.00"
Bid / Ask / Spread,"0.00 / 16,455.00 / 0.00%"
Volume / Avg,"440.0 / 6,177.4"
Day Range,"14,960.00 – 15,100.00"
Year Range,"13,475.00 – 25,105.00"
SEC Yield ,—
12-Month Yield ,0.25%
Premium ,—
Expense Ratio,0.440%
Total Assets,6.0 Bil
