,Values
NAV,"10,418.53"
Open Price,"10,500.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"315.0 / 29,719.8"
Day Range,"10,410.00 – 10,515.00"
Year Range,"10,085.00 – 13,080.00"
SEC Yield ,—
12-Month Yield ,1.10%
Premium ,—
Expense Ratio,0.500%
Total Assets,14.6 Bil
