,Fund,Cat. Average,Index
Price/Earnings ,2.71,11.02,12.13
Price/Book ,0.53,0.84,0.86
Price/Sales ,0.16,0.53,0.65
Price/Cash Flow ,1.49,3.46,3.66
Dividend Yield % ,1.97,3.08,3.48
Long-Term Earnings % ,10.88,10.07,3.69
Historical Earnings % ,28.34,15.26,14.88
Sales Growth % ,1.91,11.25,4.89
Cash-Flow Growth % ,-0.34,16.83,15.05
Book-Value Growth % ,2.20,10.86,8.56
