,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-2.16,-2.16,-10.96,-15.18,-11.19,-10.61,-0.29,—,—,—,—
Total Return % (NAV),0.23,1.94,-9.39,-13.26,-9.21,-9.29,0.50,—,—,—,2.23
+/- Category (NAV),-0.54,0.46,-2.29,-6.48,-4.35,3.60,1.54,—,—,—,—
+/- Index (NAV),0.23,0.69,-3.19,-9.55,-9.71,0.50,-3.87,—,—,—,—
