,Values
NAV,"10,418.53"
Open Price,"10,190.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"19,417.0 / 29,717.1"
Day Range,"10,140.00 – 10,235.00"
Year Range,"10,085.00 – 13,080.00"
SEC Yield ,—
12-Month Yield ,1.10%
Premium ,—
Expense Ratio,0.500%
Total Assets,14.6 Bil
