,Values
NAV,"8,363.16"
Open Price,"8,360.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"109.0 / 3,664.2"
Day Range,"8,335.00 – 8,390.00"
Year Range,"8,065.00 – 9,840.00"
SEC Yield ,—
12-Month Yield ,1.71%
Premium ,—
Expense Ratio,0.420%
Total Assets,6.3 Bil
