,Values
Sustainability Rate,High
Percent Rank in Global Category,6%
Historical Sustainability Score,43.07
Global Category,Korea Equity
Portfolio ESG,52.68
Controversy Deduction,9.05
Sustainability Score,43.63
Sustainability Mandate,No
