,Values
NAV,"17,717.11"
Open Price,"17,530.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,548.0 / 156.5"
Day Range,"17,440.00 – 17,630.00"
Year Range,"17,430.00 – 20,615.00"
SEC Yield ,—
12-Month Yield ,1.90%
Premium ,—
Expense Ratio,0.300%
Total Assets,19.4 Bil
