,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,1.13,-5.62,-4.62,14.87,29.76,-19.59,-0.45
Fund (NAV),—,—,—,—,1.93,-7.60,-3.18,15.16,29.82,-19.47,0.53
+/ Category (NAV),—,—,—,—,0.83,-2.52,-7.20,14.47,7.34,-2.79,5.31
+/- Index (Price),—,—,—,—,-1.39,1.54,-1.80,1.04,-2.47,-1.95,-1.12
Percentile Rank,—,—,—,—,37,64,87,1,8,82,5
# of Funds in Category,—,—,—,"1,737","1,779","1,796","2,103","2,012","2,058","2,015","2,325"
